Year,Age Group,All Children %,Aboriginal and Torres Strait Islander Children %
2015,1 year olds,92.28%,88.72%
,2 year olds,89.31%**,86.18%
,5 year olds,92.59%,93.94%
2016,1 year olds,93.41%,91.16%
,2 year olds,91.36%,89.13%
,5 year olds,93.19%,95.20%
2017,1 year olds,94.00%,92.19%
,2 year olds,90.46%***,88.18%
,5 year olds,93.96%,96.16%
2018,1 year olds,94.04%,92.62%
,2 year olds,90.75%,88.20%
,5 year olds,94.67%,96.66%
2019,1 year olds,94.31%,92.61%
,2 year olds,91.64%,90.03%
,5 year olds,94.78%,96.87%
2020,1 year olds,94.85%,93.79%
,2 year olds,92.55%,91.43%
,5 year olds,95.09%,97.25%
