GHO (CODE),GHO (DISPLAY),GHO (URL),YEAR (DISPLAY),STARTYEAR,ENDYEAR,REGION (CODE),REGION (DISPLAY),COUNTRY (CODE),COUNTRY (DISPLAY),DIMENSION (TYPE),DIMENSION (CODE),DIMENSION (NAME),Numeric,Value,Low,High
#indicator+code,#indicator+name,#indicator+url,#date+year,#date+year+start,#date+year+end,#region+code,#region+name,#country+code,#country+name,#dimension+type,#dimension+code,#dimension+name,#indicator+value+num,#indicator+value,#indicator+value+low,#indicator+value+high
AIR_62,"Household and ambient air pollution attributable DALYs (per 100 000 capita, age-standardized)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/ambient-air-pollution-attributable-dalys-per-100000population,2014,2014,2014,WPR,Western Pacific,PHL,Philippines,SEX,SEX_BTSX,Both sexes,790.25,790 [453-1162],452.955,1162.072
AIR_39,"Household air pollution attributable DALYs (per 100 000, age-standardized)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/household-air-pollution-attributable-dalys-%28per-100-000-age-standardized%29,2017,2017,2017,WPR,Western Pacific,PHL,Philippines,SEX,SEX_BTSX,Both sexes,325.287,325 [167-606],167.312,606.169
AIR_52,"Household air pollution attributable death rate (per 100 000 population, age-standardized)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/household-air-pollution-attributable-death-rate-%28per-100-000-population-age-standardized%29,2011,2011,2011,WPR,Western Pacific,PHL,Philippines,SEX,SEX_MLE,Male,54.671,55 [39-72],38.598,71.967
AIR_39,"Household air pollution attributable DALYs (per 100 000, age-standardized)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/household-air-pollution-attributable-dalys-%28per-100-000-age-standardized%29,2016,2016,2016,WPR,Western Pacific,PHL,Philippines,SEX,SEX_BTSX,Both sexes,328.553,329 [171-606],171.128,605.93
AIR_52,"Household air pollution attributable death rate (per 100 000 population, age-standardized)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/household-air-pollution-attributable-death-rate-%28per-100-000-population-age-standardized%29,2013,2013,2013,WPR,Western Pacific,PHL,Philippines,SEX,SEX_MLE,Male,23.439,23 [12-42],11.656,41.946
AIR_62,"Household and ambient air pollution attributable DALYs (per 100 000 capita, age-standardized)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/ambient-air-pollution-attributable-dalys-per-100000population,2019,2019,2019,WPR,Western Pacific,PHL,Philippines,SEX,SEX_FMLE,Female,1034.415,1034 [747-1295],746.806,1295.288
AIR_60,Household and ambient air pollution attributable DALYs,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/ambient-air-pollution-attributable-dalys,2010,2010,2010,WPR,Western Pacific,PHL,Philippines,SEX,SEX_MLE,Male,617214.887,617 215 [483 129-742 118],483129.302,742118.163
PHE_HHAIR_PROP_POP_CATEGORY_FUELS,"Proportion of population with primary reliance on fuels and technologies for cooking, by fuel type (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/proportion-of-population-with-primary-reliance-on-fuels-and-technologies-for-cooking-by-fuel-type,2023,2023,2023,WPR,Western Pacific,PHL,Philippines,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,Urban,0.6,0.6 [0 - 4.5],0.0,4.5
PHE_HHAIR_POP_POLLUTING_FUELS,Population with primary reliance on polluting fuels and technologies for cooking (in millions),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-with-primary-reliance-on-polluting-fuels-and-technologies-for-cooking-%28in-millions%29,1990,1990,1990,WPR,Western Pacific,PHL,Philippines,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,Total,48.963784814,48.96 [41.17 - 55.5],41.16980623,55.500670078
