Title,Review,cleaned_review,cleaned_title
Frustrating...but I couldn't stop watching,"Amongst the cliches, irritating characters, and the irritating choices they make, there is something comforting about this series. The soundtrack, stunning locations, colorful costumes, excellent casting, and all around solid performances make an otherwise unoriginal series quite entertaining....and by the way, I'm team Conrad.",amongst the cliches irritating characters and the irritating choices they make there is something comforting about this series the soundtrack stunning locations colorful costumes excellent casting and all around solid performances make an otherwise unoriginal series quite entertainingand by the way im team conrad,frustratingbut i couldnt stop watching
Sweet and fun but it's missing something,"This is more like a 6.5/10 for me. It was a sweet and fun. I liked the setting and the chill beachy vibe. It was a pretty easy binge watch too. But it felt a little shallow and repetitive. I feel like we've seen this story many times already. And that's totally fine, but I just wished this series had had something more interesting that would have made it stand out from the other stories. Some of the interactions between the characters felt unnatural to me as well.",this is more like a 6510 for me it was a sweet and fun i liked the setting and the chill beachy vibe it was a pretty easy binge watch too but it felt a little shallow and repetitive i feel like weve seen this story many times already and thats totally fine but i just wished this series had had something more interesting that would have made it stand out from the other stories some of the interactions between the characters felt unnatural to me as well,sweet and fun but its missing something
What happened????,"Season Two, 2023: It is July 2023 and the second season of this limited series is available on Prime. My wife and I watched the first two episodes and we are not impressed. This season has none of the novelty and charm of the first season. It is focusing almost solely on the relationship triangle, Belly, Conrad, and Jeremiah. And frankly it isn't scripted very well and comes across as too juvenile. This whole series of episodes are written and directed by a number of different people and it seems they didn't really know a good path forward after season one. We might watch additional episodes but it doesn't have that ""must watch"" feel that season one had. We are mildly disappointed.Season One, 2022: My wife and I just this evening finished this Amazon streaming 7-episode limited series. Each part about 45 to 50 minutes long. It focuses heavily on four teenagers, two boys from one family and a boy and a girl from the other. They have been knowing each other essentially all their lives and grew up mostly like brothers and sister, their moms are best friends. The story is told mostly from Belly's (Isabel) point of view, she is the one, just turning 16, that became pretty that summer.There are a few side stories going on, some involving an ex-husband or an estranged husband. And the usual ""on again, off again"" teenage friendships. The 16-yr-olds getting ready for the debutante ball. But the most significant is the illness of one of the mothers.While we, grandparents in our 70s, are not the target audience for this type of teen-focused programming we enjoyed it quite nicely. With a show like this it hinges on whether you can care about the characters, if you can easily put aside the fact that you are watching actors playing fictional roles. And we were able to do that with this series.The last episode ends in a way that it certainly sets up for a sequel and my wife tells me that a second season is in the works. We will also watch that when it becomes available.",season two 2023 it is july 2023 and the second season of this limited series is available on prime my wife and i watched the first two episodes and we are not impressed this season has none of the novelty and charm of the first season it is focusing almost solely on the relationship triangle belly conrad and jeremiah and frankly it isnt scripted very well and comes across as too juvenile this whole series of episodes are written and directed by a number of different people and it seems they didnt really know a good path forward after season one we might watch additional episodes but it doesnt have that must watch feel that season one had we are mildly disappointedseason one 2022 my wife and i just this evening finished this amazon streaming 7episode limited series each part about 45 to 50 minutes long it focuses heavily on four teenagers two boys from one family and a boy and a girl from the other they have been knowing each other essentially all their lives and grew up mostly like brothers and sister their moms are best friends the story is told mostly from bellys isabel point of view she is the one just turning 16 that became pretty that summerthere are a few side stories going on some involving an exhusband or an estranged husband and the usual on again off again teenage friendships the 16yrolds getting ready for the debutante ball but the most significant is the illness of one of the motherswhile we grandparents in our 70s are not the target audience for this type of teenfocused programming we enjoyed it quite nicely with a show like this it hinges on whether you can care about the characters if you can easily put aside the fact that you are watching actors playing fictional roles and we were able to do that with this seriesthe last episode ends in a way that it certainly sets up for a sequel and my wife tells me that a second season is in the works we will also watch that when it becomes available,what happened
Melded families spend yet another summer at the beach house.,"I loved the first season of this show. It's a fun, bingeable, teen-angsty series. The setting creates an environment you can escape into. The teens were also very well-cast and engaging to watch. The adults not so much, but that could be overlooked. However, this second season drags. Everything just seems sad. It lacks complexity and all the color of the first season. Their cousin is also such a bad actor it's distracting. If there is a third season, I would love to keep watching if they're able to rebound and get back to the energy of the first season. But maybe the ""will they, won't they?"" drama has played itself out...",i loved the first season of this show its a fun bingeable teenangsty series the setting creates an environment you can escape into the teens were also very wellcast and engaging to watch the adults not so much but that could be overlooked however this second season drags everything just seems sad it lacks complexity and all the color of the first season their cousin is also such a bad actor its distracting if there is a third season i would love to keep watching if theyre able to rebound and get back to the energy of the first season but maybe the will they wont they drama has played itself out,melded families spend yet another summer at the beach house
Second season disappoints,"I feel like people get way to critical about these easy watching, light, young adult TV shows. If people read the books they would realise that actually the show adapts the storyline much further - the books are meant to be easy reading and therefore the show is also meant to be easy watching.I really loved this show. I found it so comforting and entertaining and will continue to rewatch it. Sometimes the simplicity and cheesiness is just what you need and it clearly isn't aimed at adults or those who don't enjoy said shows. If you want something light hearted and fun, this is perfect. Cant wait for season two.",i feel like people get way to critical about these easy watching light young adult tv shows if people read the books they would realise that actually the show adapts the storyline much further  the books are meant to be easy reading and therefore the show is also meant to be easy watchingi really loved this show i found it so comforting and entertaining and will continue to rewatch it sometimes the simplicity and cheesiness is just what you need and it clearly isnt aimed at adults or those who dont enjoy said shows if you want something light hearted and fun this is perfect cant wait for season two,second season disappoints
A comfort show,"It's alright, good binge material if you're bored.Decent acting in season 1, the second season however fails to deliver. The story lacks depth in both seasons and is very predictable.The source material feels as though it was taken straight out of Wattpad, no idea why there's so much hype out there.I take it the books are better?",its alright good binge material if youre boreddecent acting in season 1 the second season however fails to deliver the story lacks depth in both seasons and is very predictablethe source material feels as though it was taken straight out of wattpad no idea why theres so much hype out therei take it the books are better,a comfort show
Very Wattpad,Jeremiah is by far the best character of the series. Such a cute tween book to series adaptation. There's many layers and relationships from parents to children that everyone can connect with.,jeremiah is by far the best character of the series such a cute tween book to series adaptation theres many layers and relationships from parents to children that everyone can connect with,very wattpad
"Watch it for ""Jeremiah""","One of those series that made me watch just because I saw the trailer and I was hooked.Based on the books by Jenny Han, this series is good as its own. There's the summer story, romance, drama and sadly tragedy. At first, it is a simple story of how Belly spent her usual summer until everything is different and how that year changed everything.It's a usual growing of age story yet it is still enjoyable and fun to watch. Easy to binge with good ensemble cast and really good soundtrack. A romance story with songs from Taylor Swift and Olivia Rodrigo? It's a yes. So if you are looking for a series to easily binge and enjoy, this is a good series to begin with. Season 2 is also about to get released this week. Crossfingers on that Back to December version from the trailer.At the end of season 1, you're gonna have a question whether you are team Jeremiah or Team ConradThe Summer I Turned Pretty season 1 is 7/10. It'll make you smile and cry.",one of those series that made me watch just because i saw the trailer and i was hookedbased on the books by jenny han this series is good as its own theres the summer story romance drama and sadly tragedy at first it is a simple story of how belly spent her usual summer until everything is different and how that year changed everythingits a usual growing of age story yet it is still enjoyable and fun to watch easy to binge with good ensemble cast and really good soundtrack a romance story with songs from taylor swift and olivia rodrigo its a yes so if you are looking for a series to easily binge and enjoy this is a good series to begin with season 2 is also about to get released this week crossfingers on that back to december version from the trailerat the end of season 1 youre gonna have a question whether you are team jeremiah or team conradthe summer i turned pretty season 1 is 710 itll make you smile and cry,watch it for jeremiah
It's a usual growing of age story yet it is still enjoyable and fun to watch.,"I read so many bad reviews saying how poorly was adapted but I guess people didn't pay attention that the author itself created e co-wroted the series so I guess all the changes from the books were made because she thought it would fit better. I'm in the middle of the book right now and so far the series was much better and the changes elevated the stories for me. Oh and also if you're a middle age man and you're saying this is trash then maybe you should watch appropriate things for your age and your wonderful IQ. And for the one that only paid attention to the politics, belive nobody that cared about the romance and the untangle of it paid any mind to it. It's a great series, very easy to watch and will hold your attention for sure. And the tracklist is great! Highly recommend the show!",i read so many bad reviews saying how poorly was adapted but i guess people didnt pay attention that the author itself created e cowroted the series so i guess all the changes from the books were made because she thought it would fit better im in the middle of the book right now and so far the series was much better and the changes elevated the stories for me oh and also if youre a middle age man and youre saying this is trash then maybe you should watch appropriate things for your age and your wonderful iq and for the one that only paid attention to the politics belive nobody that cared about the romance and the untangle of it paid any mind to it its a great series very easy to watch and will hold your attention for sure and the tracklist is great highly recommend the show,its a usual growing of age story yet it is still enjoyable and fun to watch
Don't mind the trolls,"I thought this show would be just another Gen Z kind of show with exaggerated acting from mediocre actors and a generic story. But it's actually really well made. This is probably the closest to realistic portrayal of modern youth I've ever seen a tv show do. The acting is good, the character development is great, and it keeps you entertained. Nowadays so many movies and tv shows make Gen Z look either incredibly depressing and dramatic or some completely unrealistic fairytale. There are some moments that feel very genuine I'm the show, like you are actually witnessing a real conversation happen with the characters.",i thought this show would be just another gen z kind of show with exaggerated acting from mediocre actors and a generic story but its actually really well made this is probably the closest to realistic portrayal of modern youth ive ever seen a tv show do the acting is good the character development is great and it keeps you entertained nowadays so many movies and tv shows make gen z look either incredibly depressing and dramatic or some completely unrealistic fairytale there are some moments that feel very genuine im the show like you are actually witnessing a real conversation happen with the characters,dont mind the trolls
