GHO (CODE),GHO (DISPLAY),GHO (URL),YEAR (DISPLAY),STARTYEAR,ENDYEAR,REGION (CODE),REGION (DISPLAY),COUNTRY (CODE),COUNTRY (DISPLAY),DIMENSION (TYPE),DIMENSION (CODE),DIMENSION (NAME),Numeric,Value,Low,High
#indicator+code,#indicator+name,#indicator+url,#date+year,#date+year+start,#date+year+end,#region+code,#region+name,#country+code,#country+name,#dimension+type,#dimension+code,#dimension+name,#indicator+value+num,#indicator+value,#indicator+value+low,#indicator+value+high
HWF_0001,"Medical doctors (per 10,000)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/medical-doctors-%28per-10-000-population%29,2012,2012,2012,WPR,Western Pacific,PHL,Philippines,,,,5.64,5.64,,
HWF_0008,Nursing personnel (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-personnel-%28number%29,2000,2000,2000,WPR,Western Pacific,PHL,Philippines,,,,336650.0,336 650,,
HWF_0006,"Nursing and midwifery personnel (per 10,000)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-and-midwifery-personnel-%28per-10-000-population%29,2005,2005,2005,WPR,Western Pacific,PHL,Philippines,,,,41.93,41.93,,
HWF_0002,Medical doctors (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/medical-doctors-%28number%29,2018,2018,2018,WPR,Western Pacific,PHL,Philippines,,,,76079.0,76 079,,
HWF_0005,Medical doctors not further defined (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/medical-doctors-not-further-defined-%28number%29,2012,2012,2012,WPR,Western Pacific,PHL,Philippines,,,,56461.0,56 461,,
HWF_0021,Physiotherapists (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/physiotherapists-%28number%29,2019,2019,2019,WPR,Western Pacific,PHL,Philippines,,,,15099.0,15 099,,
HWF_0008,Nursing personnel (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-personnel-%28number%29,2003,2003,2003,WPR,Western Pacific,PHL,Philippines,,,,351858.0,351 858,,
HWF_0008,Nursing personnel (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-personnel-%28number%29,2014,2014,2014,WPR,Western Pacific,PHL,Philippines,,,,398769.0,398 769,,
HWF_0005,Medical doctors not further defined (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/medical-doctors-not-further-defined-%28number%29,2020,2020,2020,WPR,Western Pacific,PHL,Philippines,,,,84306.0,84 306,,
HWF_0007,Nursing and midwifery personnel  (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-and-midwifery-personnel-%28number%29,2002,2002,2002,WPR,Western Pacific,PHL,Philippines,,,,347227.0,347 227,,
HWF_0001,"Medical doctors (per 10,000)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/medical-doctors-%28per-10-000-population%29,2007,2007,2007,WPR,Western Pacific,PHL,Philippines,,,,12.21,12.21,,
HWF_0005,Medical doctors not further defined (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/medical-doctors-not-further-defined-%28number%29,2018,2018,2018,WPR,Western Pacific,PHL,Philippines,,,,76079.0,76 079,,
HWF_0007,Nursing and midwifery personnel  (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-and-midwifery-personnel-%28number%29,2020,2020,2020,WPR,Western Pacific,PHL,Philippines,,,,535849.0,535 849,,
HWF_0008,Nursing personnel (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-personnel-%28number%29,2013,2013,2013,WPR,Western Pacific,PHL,Philippines,,,,380096.0,380 096,,
HWF_0005,Medical doctors not further defined (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/medical-doctors-not-further-defined-%28number%29,2015,2015,2015,WPR,Western Pacific,PHL,Philippines,,,,64109.0,64 109,,
HWF_0002,Medical doctors (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/medical-doctors-%28number%29,2009,2009,2009,WPR,Western Pacific,PHL,Philippines,,,,116734.0,116 734,,
HWF_0009,Midwifery personnel (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/midwifery-personnel-%28number%29,2012,2012,2012,WPR,Western Pacific,PHL,Philippines,,,,50902.0,50 902,,
HWF_0007,Nursing and midwifery personnel  (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-and-midwifery-personnel-%28number%29,2009,2009,2009,WPR,Western Pacific,PHL,Philippines,,,,521865.0,521 865,,
HWF_0019,Medical and Pathology Laboratory scientists  (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/medical-and-pathology-laboratory-scientists-%28number%29,2017,2017,2017,WPR,Western Pacific,PHL,Philippines,,,,40419.0,40 419,,
HWF_0002,Medical doctors (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/medical-doctors-%28number%29,2017,2017,2017,WPR,Western Pacific,PHL,Philippines,,,,71407.0,71 407,,
HWF_0010,"Dentists (per 10,000)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/dentists-%28per-10-000-population%29,2015,2015,2015,WPR,Western Pacific,PHL,Philippines,,,,2.26,2.26,,
HWF_0006,"Nursing and midwifery personnel (per 10,000)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-and-midwifery-personnel-%28per-10-000-population%29,2000,2000,2000,WPR,Western Pacific,PHL,Philippines,,,,42.28,42.28,,
HWF_0010,"Dentists (per 10,000)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/dentists-%28per-10-000-population%29,2008,2008,2008,WPR,Western Pacific,PHL,Philippines,,,,0.2,0.2,,
HWF_0011,Dentists (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/dentists-%28number%29,2010,2010,2010,WPR,Western Pacific,PHL,Philippines,,,,21695.0,21 695,,
HWF_0005,Medical doctors not further defined (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/medical-doctors-not-further-defined-%28number%29,2004,2004,2004,WPR,Western Pacific,PHL,Philippines,,,,93862.0,93 862,,
HWF_0007,Nursing and midwifery personnel  (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-and-midwifery-personnel-%28number%29,2017,2017,2017,WPR,Western Pacific,PHL,Philippines,,,,505047.0,505 047,,
HWF_0021,Physiotherapists (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/physiotherapists-%28number%29,2015,2015,2015,WPR,Western Pacific,PHL,Philippines,,,,9010.0,9010,,
HWF_0002,Medical doctors (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/medical-doctors-%28number%29,2012,2012,2012,WPR,Western Pacific,PHL,Philippines,,,,56461.0,56 461,,
HWF_0021,Physiotherapists (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/physiotherapists-%28number%29,2010,2010,2010,WPR,Western Pacific,PHL,Philippines,,,,6015.0,6015,,
HWF_0005,Medical doctors not further defined (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/medical-doctors-not-further-defined-%28number%29,2014,2014,2014,WPR,Western Pacific,PHL,Philippines,,,,61139.0,61 139,,
HWF_0019,Medical and Pathology Laboratory scientists  (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/medical-and-pathology-laboratory-scientists-%28number%29,2012,2012,2012,WPR,Western Pacific,PHL,Philippines,,,,20474.0,20 474,,
HWF_0002,Medical doctors (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/medical-doctors-%28number%29,2002,2002,2002,WPR,Western Pacific,PHL,Philippines,,,,90370.0,90 370,,
HWF_0008,Nursing personnel (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-personnel-%28number%29,2018,2018,2018,WPR,Western Pacific,PHL,Philippines,,,,455061.0,455 061,,
HWF_0002,Medical doctors (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/medical-doctors-%28number%29,2015,2015,2015,WPR,Western Pacific,PHL,Philippines,,,,64109.0,64 109,,
HWF_0006,"Nursing and midwifery personnel (per 10,000)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-and-midwifery-personnel-%28per-10-000-population%29,2002,2002,2002,WPR,Western Pacific,PHL,Philippines,,,,41.8,41.8,,
