Title,Author(s),First Published Year,Open Library ID,ISBN,OLID,LCCN,OCLC,Publishers,Publish Places,Publish Dates,Number of Pages,Subjects,Cover URL
To All the Boys I've Loved Before,['Jenny Han'],2014.0,/works/OL17203233W,,,,,,,,,,https://covers.openlibrary.org/b/id/7370711-M.jpg
The Summer I Turned Pretty,['Jenny Han'],2000.0,/works/OL5819962W,,,,,,,,,,https://covers.openlibrary.org/b/id/8783502-M.jpg
It's Not Summer Without You,['Jenny Han'],2010.0,/works/OL15640090W,,,,,,,,,,https://covers.openlibrary.org/b/id/14428232-M.jpg
P.S. I Still Love You,['Jenny Han'],2000.0,/works/OL17356811W,,,,,,,,,,https://covers.openlibrary.org/b/id/7434792-M.jpg
"Always and Forever, Lara Jean",['Jenny Han'],2017.0,/works/OL19666031W,,,,,,,,,,https://covers.openlibrary.org/b/id/8863058-M.jpg
The Summer I Turned Pretty Trilogy,['Jenny Han'],2009.0,/works/OL17508740W,,,,,,,,,,https://covers.openlibrary.org/b/id/7719210-M.jpg
We'll Always Have Summer,['Jenny Han'],2011.0,/works/OL16211977W,,,,,,,,,,https://covers.openlibrary.org/b/id/6971834-M.jpg
The To All the Boys I've Loved Before Collection,['Jenny Han'],2017.0,/works/OL20210369W,,,,,,,,,,https://covers.openlibrary.org/b/id/8861198-M.jpg
The Summer I Turned Pretty,['Jenny Han'],2009.0,/works/OL36525774W,,,,,,,,,,https://covers.openlibrary.org/b/id/14607965-M.jpg
El verano en que me enamoré,['Jenny Han'],2022.0,/works/OL28605561W,,,,,,,,,,https://covers.openlibrary.org/b/id/12856592-M.jpg
We'll Always Have Summer,['Jenny Han'],2012.0,/works/OL28358153W,,,,,,,,,,https://covers.openlibrary.org/b/id/14588850-M.jpg
We'll Always Have Summer,"['Jenny Han', 'Jessica Almasy']",2011.0,/works/OL35732072W,,,,,,,,,,https://covers.openlibrary.org/b/id/14843134-M.jpg
Burn for Burn,"['Jenny Han', 'Siobhan Vivian']",2012.0,/works/OL16506046W,,,,,,,,,,https://covers.openlibrary.org/b/id/8783503-M.jpg
Shug,['Jenny Han'],2006.0,/works/OL5819963W,,,,,,,,,,https://covers.openlibrary.org/b/id/760966-M.jpg
Para todos os garotos que já amei (Portuguese Edition),['Jenny Han'],2015.0,/works/OL35993345W,,,,,,,,,,
Penguin Readers Level 3,['Jenny Han'],2023.0,/works/OL28355337W,,,,,,,,,,https://covers.openlibrary.org/b/id/14412059-M.jpg
Estuche trilogía El verano en que me enamoré,"['Jenny Han', 'Marta Becerril']",2022.0,/works/OL35255214W,,,,,,,,,,https://covers.openlibrary.org/b/id/14286271-M.jpg
Verano en Que Me Enamoré (TV-Tie in) / the Summer I Turned Pretty (TV-Tie in) (Spanish Edition),['Jenny Han'],2022.0,/works/OL29188363W,,,,,,,,,,https://covers.openlibrary.org/b/id/13943314-M.jpg
My True Love Gave to Me,"['Stephanie Perkins', 'Jenny Han', 'Holly Black', 'David Levithan', 'Laini Taylor', 'Kiersten White', 'Myra McEntire', 'Kelly Link', 'Rainbow Rowell', 'Ally Carter', 'Matt de la Peña', 'Gayle Forman', 'Matt de La Penña', 'Collectif', ""Géraldine d' Amico""]",2014.0,/works/OL19991131W,,,,,,,,,,https://covers.openlibrary.org/b/id/9277714-M.jpg
Fire with Fire,"['Jenny Han', 'Siobhan Vivian']",2013.0,/works/OL19971827W,,,,,,,,,,https://covers.openlibrary.org/b/id/12658272-M.jpg
To All the Boys I've Loved Before,['Jenny Han'],2018.0,/works/OL32410741W,,,,,,,,,,
A Todos Los Chicos De Los Que Me Enamore,['Jenny Han'],2013.0,/works/OL26392094W,,,,,,,,,,https://covers.openlibrary.org/b/id/12339443-M.jpg
It's Not Summer Without You,['Jenny Han'],2024.0,/works/OL37999786W,,,,,,,,,,https://covers.openlibrary.org/b/id/14606515-M.jpg
Siempre nos quedará el verano,"['Jenny Han', 'Marta Becerril']",2022.0,/works/OL28170892W,,,,,,,,,,https://covers.openlibrary.org/b/id/14286277-M.jpg
To All the Boys I've Loved Before,['Jenny Han'],2014.0,/works/OL28617118W,,,,,,,,,,
No Hay Verano Sin Ti,['Jenny Han'],2022.0,/works/OL29196693W,,,,,,,,,,https://covers.openlibrary.org/b/id/13809664-M.jpg
Siempre Nos Quedará el Verano,['Jenny Han'],2022.0,/works/OL29189048W,,,,,,,,,,
Clara Lee and the Apple Pie Dream,['Jenny Han'],2011.0,/works/OL15631946W,,,,,,,,,,https://covers.openlibrary.org/b/id/8783501-M.jpg
To All the Boys I've Loved Before and Burn for Burn Series 6 Books Collection Set by Jenny Han,"['Jenny Han', 'Siobhan Vivian']",2021.0,/works/OL27705078W,,,,,,,,,,
Ashes to Ashes,"['Jenny Han', 'Siobhan Vivian']",2014.0,/works/OL23181423W,,,,,,,,,,https://covers.openlibrary.org/b/id/10730841-M.jpg
