,raw_comment,cleaned,emotion,score,emoji
0,&quot;Loving him was red&quot; THE HIGHLIGHT😭🙏🏻,quotloving him was redquot the highlight,love,0.49,❤️
1,We are team Jeremiah,we are team jeremiah,neutral,0.943,
2,<b>the</b>,btheb,neutral,0.969,
3,TEH song “daylight” is just all the vibessssss,teh song daylight is just all the vibessssss,neutral,0.956,
4,"NGL, Belly is a red flag. She is going to end up with Conrad.. I read the book",ngl belly is a red flag she is going to end up with conrad i read the book,neutral,0.961,
5,Team Conrad,team conrad,neutral,0.967,
6,Daylight it is.,daylight it is,neutral,0.966,
7,Team Conrad!,team conrad,neutral,0.967,
8,TEAM CONRAD!!!!,team conrad,neutral,0.967,
9,"Am I crazy, or are the lyrics from Red that are actually in the trailer (NOT THE SONG ITSELF) &quot;But loving him IS red&quot;???? Because if that is true, that could be a pretty crucial hint",am i crazy or are the lyrics from red that are actually in the trailer not the song itself quotbut loving him is redquot because if that is true that could be a pretty crucial hint,love,0.534,❤️
10,"GUYS HAVE YOU SEEN THE PICTURE THEY USED FOR SEASON 3? ITS INSPIRED BY SABRINA, SEARCH IT UP IT GIVES MORE LORE!!",guys have you seen the picture they used for season 3 its inspired by sabrina search it up it gives more lore,neutral,0.781,
11,If she goes back to Conrad I will lose hope Team Germaya forever,if she goes back to conrad i will lose hope team germaya forever,disappointment,0.71,
12,BAYILAZAM,bayilazam,neutral,0.963,
13,She will marry Conrad this season I bet 🙄,she will marry conrad this season i bet,neutral,0.818,
14,the choice of taylor songs are so accurate!😭,the choice of taylor songs are so accurate,approval,0.852,
15,Omg I&#39;m so excited for thisssssss,omg i39m so excited for thisssssss,excitement,0.81,
16,I <b>swear</b> if y&#39;all steal the Jellyfish ship from me again😤,i bswearb if y39all steal the jellyfish ship from me again,neutral,0.955,
17,Team Connie all the way! ❤❤,team connie all the way,neutral,0.962,
18,CAN SOMEONE PLEASE PUT THIS AUDIO ON SPOTIFYYY PLEASEEEEE😭😭😭,can someone please put this audio on spotifyyy pleaseeeee,neutral,0.443,
19,"Guys, she changed the lyrics. It’s “Loving him IS red” she did the lyric change for the trailer. So it goes “I used to think love was burning red” with Jeremiah to “loving him is red” with Conrad 😭❤️",guys she changed the lyrics its loving him is red she did the lyric change for the trailer so it goes i used to think love was burning red with jeremiah to loving him is red with conrad,love,0.734,❤️
20,🥰🥰🥰,,empty,0.0,
21,I thought it was Bella Hadid in the thumbnail,i thought it was bella hadid in the thumbnail,neutral,0.697,
22,the amount of jeremiah clips is literally js telling us she’s ending up with conrad or nobody,the amount of jeremiah clips is literally js telling us shes ending up with conrad or nobody,neutral,0.955,
23,"I read the book, so the last scene about Conrad was that, BELLY GOES TO cousin&#39;s HOUSE FOR CHRISTMAS, SHE haD had trouble putting up THE FIRE, BUT WHEN SOMEONE knockedon  THE DOOR, SHE THOUGHT IT WAS A BURGLAR AND SO SHE OPENED THE DOOR HOLDING idk what that stick is called, but yea conrad comes AND HE MAKES FUN ABOUT THE hot CHOC ON THE MOUTH saying &quot;did you dump your face in the hotchocolate&quot; , AND CONRAD ENDS UP GOING UPSTAIRS TO HIS ROOM AND I DONT THINK ANYTHING MUCH HAPPENED THT NIGHT . and conrad helps to start the fire(PS :sorry for my bad eng, I&#39;m literally so tired )",i read the book so the last scene about conrad was that belly goes to cousin39s house for christmas she had had trouble putting up the fire but when someone knockedon  the door she thought it was a burglar and so she opened the door holding idk what that stick is called but yea conrad comes and he makes fun about the hot choc on the mouth saying quotdid you dump your face in the hotchocolatequot  and conrad ends up going upstairs to his room and i dont think anything much happened tht night  and conrad helps to start the fireps sorry for my bad eng i39m literally so tired,remorse,0.322,
24,The ONLY time when I want to hear a Taylor Swift song is with this show. It actually fits!,the only time when i want to hear a taylor swift song is with this show it actually fits,desire,0.299,
25,i hope she choose no one. just end it with Belly choosing herself and not hurting the brothers. &lt;3,i hope she choose no one just end it with belly choosing herself and not hurting the brothers lt3,optimism,0.799,
26,THIS SEASON BETTER NOT PISS ME OFF!,this season better not piss me off,annoyance,0.514,
27,"THIS IS GOING TO BE CHAOTIC AND LOVEABLE LAST SEASON. EVERYONE IS HOT, EVERYONE IS OLDER AND MATURE ( a little more hopefully) I CANNOT WAIT",this is going to be chaotic and loveable last season everyone is hot everyone is older and mature  a little more hopefully i cannot wait,optimism,0.898,
28,The switch from daylight to “but loving him was RED” it’s INSANE,the switch from daylight to but loving him was red its insane,love,0.558,❤️
29,Pls tell me vonand belly are not getting back together j hate conrad,pls tell me vonand belly are not getting back together j hate conrad,neutral,0.733,
30,team conrad till the day i die,team conrad till the day i die,neutral,0.948,
31,Pls guys is this movie worth watching?,pls guys is this movie worth watching,admiration,0.561,
32,Can&#39;t wait for July 16th!,can39t wait for july 16th,excitement,0.586,
33,They are so cute but it just seem like it’s gonna play out like the books,they are so cute but it just seem like its gonna play out like the books,admiration,0.89,
34,Seeing Jeremiah and Belly happy together is somehow healing to me.,seeing jeremiah and belly happy together is somehow healing to me,joy,0.829,😊
35,Conrad hey just has to ruin all of it (no offense to the Conrad fans),conrad hey just has to ruin all of it no offense to the conrad fans,neutral,0.731,
36,Oh my gosh I’m so excited for the wedding. It’s so good the teaser is amazing. I’m gonna be staying up all night watching it when it comes out.❤❤❤ sad it is the last  season though,oh my gosh im so excited for the wedding its so good the teaser is amazing im gonna be staying up all night watching it when it comes out sad it is the last  season though,excitement,0.376,
37,Keep seeing these weird TV shows with WMAF pairings. Ethnic women love these i guess since they are so successful. <br><br>There was a hit show about Indian girl dating white guys. Then there was one about asian girl. Then this is another one of those.,keep seeing these weird tv shows with wmaf pairings ethnic women love these i guess since they are so successful brbrthere was a hit show about indian girl dating white guys then there was one about asian girl then this is another one of those,neutral,0.321,
38,LOVNG HIM WAS RED!! AHHH,lovng him was red ahhh,neutral,0.78,
39,Team Jeremiah because Conrad is so moody and toxic meanwhile Jeremiah is loving and have stability in a relationship and easygoing and makes Belly smile. Conrad is not like that he doesn’t know how to communicate and is very jealous.,team jeremiah because conrad is so moody and toxic meanwhile jeremiah is loving and have stability in a relationship and easygoing and makes belly smile conrad is not like that he doesnt know how to communicate and is very jealous,neutral,0.581,
40,Omggggg I actually can’t wait!!,omggggg i actually cant wait,excitement,0.585,
41,Team connie all the way 😊😊,team connie all the way,neutral,0.962,
42,Guy&#39;s intresting is jairmaya 😭🫶🏻,guy39s intresting is jairmaya,neutral,0.969,
43,THIS SEASON IS TAKING TO LONGG IM SO EXCITEDDDDD,this season is taking to longg im so exciteddddd,excitement,0.797,
44,I DONT WANNA CONRAD TO RUIN WHAT JEREMIAH AND BELLY HAVE🙏🙏🙏🙏🙏,i dont wanna conrad to ruin what jeremiah and belly have,disapproval,0.598,
45,- Se taper 2 frères ✅,se taper 2 frères,neutral,0.967,
46,Jeremiah and belly are THE perfect match and I will not be able to express how depressed I would be if he does end up cheating. Like Jere looks so happy so why would he do that also team Jeremiah all the way,jeremiah and belly are the perfect match and i will not be able to express how depressed i would be if he does end up cheating like jere looks so happy so why would he do that also team jeremiah all the way,approval,0.248,
47,Jeremiah and belly are THE perfect match and I will not be able to express how depressed I would be if he does end up cheating. Like Jere looks so happy so why would he do that also team Jeremiah all the way,jeremiah and belly are the perfect match and i will not be able to express how depressed i would be if he does end up cheating like jere looks so happy so why would he do that also team jeremiah all the way,approval,0.248,
